date,code,score,next_open_return_pct
2026-04-07,017670,54.48,4.9020
2026-04-07,009150,51.88,7.2210
2026-04-08,010130,53.48,0.2524
2026-04-08,005930,53.31,-1.6627
2026-04-08,017670,52.97,4.4944
2026-04-13,000660,51.32,5.0000
2026-04-15,030200,50.90,0.1553
2026-04-16,055550,54.81,-0.3003
2026-04-17,003670,50.84,0.6397
2026-04-20,030200,55.82,0.4777
2026-04-20,105560,55.00,0.1865
2026-04-21,005490,62.35,-0.3559
2026-04-21,006400,61.73,6.3566
2026-04-21,096770,56.26,1.2734
2026-04-21,003670,54.78,0.1949
2026-04-22,006400,55.84,-0.3035
2026-04-22,096770,53.99,0.3731
2026-04-23,055550,56.35,0.1001
2026-04-23,005490,55.75,0.2436
2026-04-23,003670,52.59,1.2195
2026-04-23,034730,50.92,0.1261
2026-04-24,086790,52.35,1.4599
2026-04-27,055550,56.64,0.3009
2026-04-27,096770,52.50,0.2301
2026-04-27,032830,50.64,-0.8000
2026-04-27,316140,50.28,-0.1506
2026-04-27,003670,50.19,1.6032
2026-04-28,005490,64.83,2.2508
2026-04-28,066570,60.30,0.8571
2026-04-28,086790,53.05,0.0787
2026-04-28,055550,50.21,0.1001
2026-04-29,096770,69.78,-2.2029
2026-04-29,055550,59.22,-1.0000
2026-04-29,105560,52.01,0.9963
2026-04-30,066570,61.80,3.7615
2026-04-30,032830,61.49,2.6052
2026-04-30,086790,53.99,2.4238
2026-04-30,005490,52.37,5.1948
2026-04-30,051910,50.22,3.6524
