date,code,name,score,regime,ret_pct
2025-05-26,161580,필옵틱스,96.17,strong,4.1667
2025-05-26,460930,현대힘스,95.77,strong,-1.1312
2025-05-26,019170,신풍제약,95.03,strong,6.3613
2025-05-26,000720,현대건설,76.32,strong,-0.3436
2025-05-26,036620,감성코퍼레이션,71.97,strong,-1.7613
2025-05-27,010950,S-Oil,98.95,neutral,0.3540
2025-05-27,377300,카카오페이,98.28,neutral,-1.5299
2025-05-27,044490,태웅,97.46,neutral,4.7120
2025-05-27,290650,엘앤씨바이오,97.16,neutral,-5.3667
2025-05-27,000880,한화,96.77,neutral,0.3236
2025-05-28,078930,GS,100.00,neutral,2.1201
2025-05-28,034730,SK,98.35,neutral,3.0730
2025-05-28,377300,카카오페이,97.43,neutral,-2.9563
2025-05-28,267250,HD현대,97.41,neutral,4.2989
2025-05-28,006360,GS건설,97.25,neutral,-1.1062
2025-06-02,003090,대웅,96.84,neutral,-1.2750
2025-06-02,336370,솔루스첨단소재,96.70,neutral,-1.7490
2025-06-02,218410,RFHIC,96.09,neutral,3.1100
2025-06-02,044490,태웅,94.39,neutral,-2.1818
2025-06-02,336570,원텍,80.67,neutral,-1.0711
2025-06-04,034730,SK,95.68,neutral,4.0398
2025-06-04,006800,미래에셋증권,94.60,neutral,0.0000
2025-06-04,087010,펩트론,94.53,neutral,-4.2857
2025-06-04,000880,한화,93.65,neutral,-1.2848
2025-06-04,052400,코나아이,93.51,neutral,4.2373
2025-06-05,052690,한전기술,97.31,neutral,5.7377
2025-06-05,014620,성광벤드,97.20,neutral,1.1747
2025-06-05,222800,심텍,97.12,neutral,0.9390
2025-06-05,025980,아난티,97.05,neutral,1.2804
2025-06-05,001800,오리온홀딩스,96.76,neutral,4.1860
2025-06-11,403870,HPSP,97.99,strong,0.7220
2025-06-11,009830,한화솔루션,97.77,strong,-2.6144
2025-06-11,222800,심텍,97.09,strong,-3.0043
2025-06-11,103140,풍산,96.18,strong,-1.1876
2025-06-11,041190,우리기술투자,95.41,strong,-0.7828
2025-06-16,033100,제룡전기,97.16,strong,9.2965
2025-06-16,018260,삼성에스디에스,97.13,strong,0.5992
2025-06-16,064400,LG씨엔에스,97.13,strong,3.7975
2025-06-16,032820,우리기술,93.95,strong,3.8462
2025-06-16,347850,디앤디파마텍,93.00,strong,2.7564
2025-06-18,035420,NAVER,98.19,strong,4.5175
2025-06-18,012510,더존비즈온,97.85,strong,0.7022
2025-06-18,060250,NHN KCP,97.38,strong,12.9543
2025-06-18,062040,산일전기,95.41,strong,-0.7585
2025-06-18,307950,현대오토에버,79.92,strong,0.6211
2025-06-20,010130,고려아연,98.10,neutral,2.4510
2025-06-20,310210,보로노이,98.01,neutral,-3.3976
2025-06-20,302440,SK바이오사이언스,97.63,neutral,-2.7290
2025-06-20,090710,휴림로봇,97.57,neutral,0.2174
2025-06-20,035420,NAVER,97.25,neutral,2.5974
2025-06-23,466100,클로봇,99.36,neutral,11.7405
2025-06-23,328130,루닛,98.19,neutral,4.5456
2025-06-23,454910,두산로보틱스,97.15,neutral,6.9374
2025-06-23,090710,휴림로봇,97.11,neutral,5.3170
2025-06-23,241560,두산밥캣,97.03,neutral,9.1065
2025-06-24,112040,위메이드,100.00,neutral,-2.7261
2025-06-24,181710,NHN,98.05,neutral,1.9727
2025-06-24,080220,제주반도체,97.97,neutral,11.0963
2025-06-24,466100,클로봇,97.72,neutral,-1.6204
2025-06-24,015760,한국전력,96.54,neutral,12.6100
2025-07-03,010060,OCI홀딩스,97.44,neutral,3.0624
2025-07-03,004020,현대제철,96.46,neutral,-2.6723
2025-07-03,101490,에스앤에스텍,96.35,neutral,-1.5135
2025-07-03,005490,POSCO홀딩스,89.95,neutral,-0.6410
2025-07-03,051910,LG화학,84.17,neutral,-2.3346
2025-07-07,249420,일동제약,96.09,neutral,-3.0471
2025-07-07,005180,빙그레,92.10,neutral,1.6216
2025-07-07,064260,다날,68.07,neutral,1.6478
2025-07-08,249420,일동제약,99.57,strong,0.3507
2025-07-08,139130,iM금융지주,96.34,strong,0.7725
2025-07-08,048410,현대바이오,66.84,strong,-0.4990
2025-07-08,214450,파마리서치,59.90,strong,-2.0408
2025-07-08,034230,파라다이스,57.82,strong,0.1125
2025-07-10,141080,리가켐바이오,97.30,strong,-3.0324
2025-07-10,088350,한화생명,95.99,strong,2.5000
2025-07-10,041190,우리기술투자,95.23,strong,6.6538
2025-07-10,060250,NHN KCP,94.23,strong,-1.2594
2025-07-10,001270,부국증권,93.00,strong,1.0558
2025-07-11,476060,온코닉테라퓨틱스,97.64,neutral,3.1861
2025-07-11,048410,현대바이오,96.72,neutral,6.3793
2025-07-11,010060,OCI홀딩스,96.72,neutral,-1.0638
2025-07-11,041190,우리기술투자,95.18,neutral,-0.3353
2025-07-11,060250,NHN KCP,93.27,neutral,-4.3307
2025-07-14,476060,온코닉테라퓨틱스,94.43,neutral,-1.0000
2025-07-14,161580,필옵틱스,85.59,neutral,-0.8633
2025-07-14,041190,우리기술투자,84.34,neutral,-2.8878
2025-07-14,048410,현대바이오,70.53,neutral,-1.2199
2025-07-14,003490,대한항공,68.47,neutral,-0.7619
2025-07-15,087010,펩트론,96.50,strong,-3.4043
2025-07-15,222800,심텍,96.44,strong,0.9804
2025-07-15,214430,아이쓰리시스템,70.50,strong,-3.3912
2025-07-15,347850,디앤디파마텍,67.33,strong,-2.3599
2025-07-15,000810,삼성화재,57.59,strong,-2.0597
2025-07-21,112610,씨에스윈드,98.57,strong,-1.1628
2025-07-21,272290,이녹스첨단소재,98.29,strong,-0.5085
2025-07-21,044490,태웅,93.00,strong,-4.6350
2025-07-21,068760,셀트리온제약,80.41,strong,0.1826
2025-07-21,009830,한화솔루션,74.36,strong,0.3958
2025-07-29,033500,동성화인텍,98.55,strong,0.1789
2025-07-29,185750,종근당,98.34,strong,-6.5285
2025-07-29,489790,한화비전,97.42,strong,-1.4430
2025-07-29,357780,솔브레인,93.07,strong,-1.0183
2025-07-29,047810,한국항공우주,87.15,strong,-0.7960
2025-07-30,067310,하나마이크론,100.00,neutral,0.7103
2025-07-30,403870,HPSP,98.73,neutral,0.7380
2025-07-30,009150,삼성전기,98.48,neutral,-1.0533
2025-07-30,077360,덕산하이메탈,97.72,neutral,-2.7473
2025-07-30,007390,네이처셀,96.41,neutral,-4.4715
2025-08-04,100090,SK오션플랜트,97.52,strong,-2.2573
2025-08-04,097230,HJ중공업,96.99,strong,0.2941
2025-08-04,030530,원익홀딩스,96.95,strong,-0.4724
2025-08-04,347700,스피어,94.31,strong,5.2929
2025-08-04,295310,에이치브이엠,83.37,strong,0.6400
2025-08-07,035720,카카오,98.42,neutral,-1.7296
2025-08-07,097230,HJ중공업,94.70,neutral,0.0000
2025-08-07,007390,네이처셀,92.43,neutral,3.4836
2025-08-07,145020,휴젤,67.74,neutral,1.5278
2025-08-14,098070,한텍,96.87,neutral,4.0426
2025-08-14,018880,한온시스템,96.54,neutral,0.9534
2025-08-14,336260,두산퓨얼셀,96.05,neutral,1.3384
2025-08-14,077970,STX엔진,95.64,neutral,-5.2342
2025-08-14,161390,한국타이어앤테크놀로지,80.65,neutral,1.0063
2025-08-20,249420,일동제약,92.58,neutral,0.6579
2025-08-20,018880,한온시스템,71.15,neutral,-0.9781
2025-08-22,032820,우리기술,96.22,neutral,3.8978
2025-08-22,064260,다날,95.89,neutral,1.5605
2025-08-22,458870,씨어스,93.59,neutral,0.7887
2025-08-22,006910,보성파워텍,91.96,neutral,1.8450
2025-08-22,100090,SK오션플랜트,81.18,neutral,1.2077
2025-08-25,277810,레인보우로보틱스,99.40,strong,-1.8998
2025-08-25,030530,원익홀딩스,99.36,strong,-2.0093
