date,code,score,next_open_return_pct
2025-12-04,012330,71.82,0.0000
2025-12-04,005380,69.35,-0.5291
2025-12-04,066570,54.93,3.5865
2025-12-04,005930,52.37,0.1903
2025-12-04,032830,51.17,-0.8280
2025-12-05,005380,68.96,1.9048
2025-12-05,012330,64.20,2.0690
2025-12-05,066570,54.12,0.0000
2025-12-05,005930,54.00,1.1993
2025-12-05,105560,51.26,-0.1530
2025-12-08,005380,54.51,-2.3772
2025-12-08,012330,51.81,-0.8276
2025-12-08,086790,50.51,-0.1064
2025-12-08,015760,50.27,-0.7737
2025-12-08,055550,50.16,1.0256
2025-12-09,032830,51.81,0.6349
2025-12-09,055550,50.32,0.2551
2025-12-09,068270,50.22,-0.2136
2025-12-12,005930,53.57,-3.3058
2025-12-15,010130,53.42,6.7211
2025-12-16,030200,59.59,0.5535
2025-12-16,005490,52.03,0.9740
2025-12-17,005930,55.23,-1.3902
2025-12-17,207940,52.10,0.0000
2025-12-19,005930,55.86,3.1985
2025-12-19,066570,50.36,0.5302
2025-12-22,032830,51.90,-0.1871
2025-12-22,207940,51.61,0.4060
2025-12-22,005930,51.02,0.3620
2025-12-22,086790,50.54,-0.3188
2025-12-22,012330,50.38,0.1377
2025-12-26,005930,52.09,2.0513
2025-12-26,086790,50.44,-0.9595
2025-12-29,000660,52.56,-0.1562
2025-12-29,035720,51.39,-0.4902
2025-12-29,086790,50.81,-0.9484
2025-12-29,055550,50.33,-1.2837
2026-01-02,068270,71.73,0.0000
2026-01-02,009150,51.65,1.4815
2026-01-05,068270,59.04,-0.7160
2026-01-05,032830,58.16,-0.3656
2026-01-05,015760,53.46,0.7021
2026-01-05,005930,52.21,-2.0275
2026-01-05,009150,52.12,-1.1111
2026-01-06,034730,60.24,-0.8696
2026-01-06,035420,56.28,-0.7692
2026-01-06,009150,53.07,0.7463
2026-01-06,005930,53.04,3.3117
2026-01-06,015760,52.15,0.0000
2026-01-07,005380,67.21,2.9957
2026-01-07,035720,53.17,0.3373
2026-01-07,012330,52.49,3.0573
2026-01-07,035420,51.81,-1.1881
2026-01-08,207940,60.46,-0.5305
2026-01-08,005380,59.52,2.4963
2026-01-08,012330,54.08,2.1739
2026-01-08,055550,50.97,0.6452
2026-01-08,032830,50.13,0.6910
2026-01-09,032830,52.23,0.7524
2026-01-12,012330,55.25,2.1574
2026-01-12,005380,54.80,3.6785
2026-01-12,005490,51.18,1.2924
2026-01-13,005490,74.00,0.0000
2026-01-13,012330,66.72,-0.6652
2026-01-13,035420,58.40,1.3233
2026-01-13,015760,55.28,-1.2567
2026-01-13,005380,55.21,0.1232
2026-01-14,068270,56.63,-0.4728
2026-01-14,012330,54.87,-1.3333
2026-01-14,034730,54.35,0.3384
2026-01-14,086790,53.37,-0.3122
2026-01-14,015760,52.29,1.4925
2026-01-15,015760,50.59,0.9294
2026-01-15,000660,50.04,0.2670
2026-01-16,066570,65.90,-0.7114
2026-01-16,005490,56.96,0.9050
2026-01-16,032830,53.94,-2.2274
2026-01-16,086790,52.72,-0.8299
2026-01-16,005380,50.24,1.6949
2026-01-19,017670,71.50,0.5068
2026-01-19,066570,69.49,2.1515
2026-01-19,005380,54.73,2.9167
2026-01-19,006400,52.63,1.5924
2026-01-19,005490,51.49,0.4317
2026-01-20,017670,69.01,-1.4469
2026-01-20,015760,64.13,-0.1529
2026-01-20,066570,59.59,-2.3810
