date,code,name,score,regime,strategy,sector,exit_type,ret_pct
2025-05-22,003530,한화투자증권,55.79,weak,종가매매+섹터,증권,open,1.6706
2025-05-28,041510,에스엠,97.14,neutral,종가매매+섹터,오락/문화,open,1.0946
2025-05-29,003550,LG,100.00,neutral,종가매매+섹터,금융,open,-1.0753
2025-05-29,034730,SK,97.55,neutral,종가매매+섹터,금융,open,-0.7670
2025-05-29,004990,롯데지주,97.29,neutral,종가매매+섹터,금융,open,4.9261
2025-05-29,267250,HD현대,96.58,neutral,종가매매+섹터,금융,open,4.1398
2025-05-29,006800,미래에셋증권,94.80,neutral,종가매매+섹터,증권,open,-0.1213
2025-05-30,138040,메리츠금융지주,97.41,weak,종가매매+섹터,금융,open,-0.6267
2025-05-30,000240,한국앤컴퍼니,97.18,weak,종가매매+섹터,금융,open,-3.8424
2025-05-30,402340,SK스퀘어,92.24,weak,종가매매+섹터,금융,open,-3.8328
2025-05-30,267250,HD현대,87.82,weak,종가매매+섹터,금융,open,-3.7601
2025-05-30,004990,롯데지주,86.89,weak,종가매매+섹터,금융,open,-1.0067
2025-06-04,034730,SK,95.68,neutral,종가매매+섹터,금융,open,4.0398
2025-06-04,006800,미래에셋증권,94.60,neutral,종가매매+섹터,증권,open,0.0000
2025-06-04,001040,CJ,72.46,neutral,종가매매+섹터,금융,open,2.0408
2025-06-04,003530,한화투자증권,68.29,neutral,종가매매+섹터,증권,open,0.7307
2025-06-04,004990,롯데지주,66.66,neutral,종가매매+섹터,금융,open,0.9539
2025-06-05,001800,오리온홀딩스,96.76,neutral,종가매매+섹터,금융,open,4.1860
2025-06-05,316140,우리금융지주,57.13,neutral,종가매매+섹터,금융,open,1.7413
2025-06-09,377300,카카오페이,95.55,weak,종가매매+섹터,금융,open,17.5758
2025-06-09,001800,오리온홀딩스,86.93,weak,종가매매+섹터,금융,open,4.0685
2025-06-09,034730,SK,65.70,weak,종가매매+섹터,금융,open,0.4599
2025-06-09,003530,한화투자증권,59.83,weak,종가매매+섹터,증권,open,3.7665
2025-06-09,078930,GS,55.08,weak,종가매매+섹터,금융,open,1.4721
2025-06-10,060370,LS마린솔루션,93.80,neutral,종가매매+섹터,건설,open,-2.1069
2025-06-12,051600,한전KPS,97.95,weak,종가매매+섹터,건설,open,-0.6958
2025-06-12,003530,한화투자증권,94.09,weak,종가매매+섹터,증권,open,-0.9449
2025-06-12,060370,LS마린솔루션,63.52,weak,종가매매+섹터,건설,open,-2.3242
2025-06-12,039490,키움증권,62.74,weak,종가매매+섹터,증권,open,0.9645
2025-06-16,051600,한전KPS,71.07,strong,종가매매+섹터,건설,open,3.9252
2025-06-17,003530,한화투자증권,69.48,neutral,종가매매+섹터,증권,open,-0.4478
2025-06-19,042000,카페24,96.89,weak,종가매매+섹터,IT 서비스,open,-1.7013
2025-06-19,035420,NAVER,92.58,weak,종가매매+섹터,IT 서비스,open,-1.1905
2025-06-19,035720,카카오,80.07,weak,종가매매+섹터,IT 서비스,open,-0.4967
2025-06-19,181710,NHN,78.91,weak,종가매매+섹터,IT 서비스,open,-2.0802
2025-06-19,018260,삼성에스디에스,75.05,weak,종가매매+섹터,IT 서비스,open,-0.8314
2025-06-20,377300,카카오페이,93.00,neutral,종가매매+섹터,금융,open,1.1307
2025-06-23,475150,SK이터닉스,94.20,neutral,종가매매+섹터,건설,open,4.0780
2025-06-23,006800,미래에셋증권,77.17,neutral,종가매매+섹터,증권,open,6.0356
2025-06-23,051600,한전KPS,53.65,neutral,종가매매+섹터,건설,open,2.6490
2025-06-24,323410,카카오뱅크,95.25,neutral,종가매매+섹터,기타,open,-2.8378
2025-06-30,328130,루닛,52.43,neutral,종가매매+섹터,IT 서비스,open,-0.5222
2025-07-01,064260,다날,92.12,weak,종가매매+섹터,IT 서비스,open,-1.9048
2025-07-04,036460,한국가스공사,97.28,weak,종가매매+섹터,전기/가스,open,-2.0063
2025-07-09,003540,대신증권,95.12,weak,종가매매+섹터,증권,open,-0.8278
2025-07-09,001720,신영증권,94.00,weak,종가매매+섹터,증권,open,-2.4038
2025-07-10,001270,부국증권,93.00,strong,종가매매+섹터,증권,open,1.0558
2025-07-10,001720,신영증권,80.07,strong,종가매매+섹터,증권,open,2.0910
2025-07-11,001270,부국증권,93.00,neutral,종가매매+섹터,증권,open,-3.4125
2025-07-18,006280,녹십자,98.38,weak,종가매매+섹터,제약,open,0.0651
2025-07-18,237690,에스티팜,74.65,weak,종가매매+섹터,제약,open,0.0000
2025-07-21,112610,씨에스윈드,98.57,strong,종가매매+섹터,금속,open,-1.1628
2025-07-21,044490,태웅,93.00,strong,종가매매+섹터,금속,open,-4.6350
2025-07-22,009520,포스코엠텍,97.35,weak,종가매매+섹터,금속,open,7.6320
2025-07-23,009520,포스코엠텍,97.11,weak,종가매매+섹터,금속,open,-0.6780
2025-07-23,000250,삼천당제약,96.47,weak,종가매매+섹터,제약,open,2.1077
2025-07-23,290650,엘앤씨바이오,52.37,weak,종가매매+섹터,제약,open,2.0057
2025-07-24,237690,에스티팜,97.76,weak,종가매매+섹터,제약,open,-0.1079
2025-07-24,298380,에이비엘바이오,96.70,weak,종가매매+섹터,제약,open,-1.8059
2025-07-24,000250,삼천당제약,95.39,weak,종가매매+섹터,제약,open,-0.4435
2025-07-25,009420,한올바이오파마,75.88,weak,종가매매+섹터,제약,open,-1.8836
2025-07-25,009520,포스코엠텍,75.30,weak,종가매매+섹터,금속,open,0.7989
2025-07-25,000250,삼천당제약,58.48,weak,종가매매+섹터,제약,open,1.3043
2025-07-29,185750,종근당,98.34,strong,종가매매+섹터,제약,open,-6.5285
2025-07-29,017960,한국카본,85.47,strong,종가매매+섹터,금속,open,-0.6590
2025-07-29,007390,네이처셀,66.11,strong,종가매매+섹터,제약,open,1.5050
2025-07-29,014620,성광벤드,60.45,strong,종가매매+섹터,금속,open,0.3106
2025-07-30,010130,고려아연,56.06,neutral,종가매매+섹터,금속,open,-0.9604
