date,code,name,score,regime,strategy,sector,exit_type,ret_pct
2025-05-19,475150,SK이터닉스,96.45,weak,종가매매,건설,open,-3.7772
2025-05-19,030530,원익홀딩스,95.63,weak,종가매매,화학,open,-2.2599
2025-05-19,322000,HD현대에너지솔루션,86.23,weak,종가매매,전기/전자,open,-5.1282
2025-05-19,100090,SK오션플랜트,80.62,weak,종가매매,금속,open,-3.3741
2025-05-19,096530,씨젠,77.73,weak,종가매매,제약,open,-2.7994
2025-05-20,032820,우리기술,97.08,weak,종가매매,전기/전자,open,1.3761
2025-05-20,030530,원익홀딩스,95.57,weak,종가매매,화학,open,0.3650
2025-05-20,475150,SK이터닉스,81.41,weak,종가매매,건설,open,-3.0568
2025-05-20,008770,호텔신라,66.85,weak,종가매매,유통,open,-0.1040
2025-05-20,112610,씨에스윈드,61.57,weak,종가매매,금속,open,-2.5145
2025-05-21,028260,삼성물산,100.00,weak,종가매매,유통,open,6.9784
2025-05-21,302440,SK바이오사이언스,98.17,weak,종가매매,제약,open,2.7907
2025-05-21,290650,엘앤씨바이오,96.89,weak,종가매매,제약,open,0.1715
2025-05-21,213420,덕산네오룩스,96.27,weak,종가매매,전기/전자,open,-1.3021
2025-05-21,075580,세진중공업,95.56,weak,종가매매,운송장비/부품,open,2.1613
2025-05-22,028260,삼성물산,98.12,weak,종가매매,유통,open,1.5884
2025-05-22,462870,시프트업,97.24,weak,종가매매,IT 서비스,open,-4.4444
2025-05-22,298040,효성중공업,96.80,weak,종가매매,전기/전자,open,-0.8432
2025-05-22,096530,씨젠,96.29,weak,종가매매,제약,open,-2.3222
2025-05-22,241710,코스메카코리아,93.83,weak,종가매매,화학,open,0.1009
2025-05-28,041510,에스엠,91.43,neutral,섹터RS+거래량,오락/문화,open,1.0946
2025-05-29,003550,LG,100.00,neutral,섹터RS+거래량,금융,open,-1.0753
2025-05-29,034730,SK,92.66,neutral,섹터RS+거래량,금융,open,-0.7670
2025-05-29,004990,롯데지주,91.86,neutral,섹터RS+거래량,금융,open,4.9261
2025-05-29,267250,HD현대,89.75,neutral,섹터RS+거래량,금융,open,4.1398
2025-05-29,006800,미래에셋증권,84.40,neutral,섹터RS+거래량,증권,open,-0.1213
2025-05-30,036570,NC,98.99,weak,종가매매,IT 서비스,open,1.4426
2025-05-30,138040,메리츠금융지주,97.41,weak,종가매매,금융,open,-0.6267
2025-05-30,003230,삼양식품,97.40,weak,종가매매,음식료/담배,open,1.2601
2025-05-30,003090,대웅,97.25,weak,종가매매,제약,open,-1.3807
2025-05-30,000240,한국앤컴퍼니,97.18,weak,종가매매,금융,open,-3.8424
2025-06-02,039490,키움증권,50.51,neutral,섹터RS+거래량,증권,open,2.1552
2025-06-04,034730,SK,89.61,neutral,섹터RS+거래량,금융,open,4.0398
2025-06-04,006800,미래에셋증권,83.81,neutral,섹터RS+거래량,증권,open,0.0000
2025-06-04,001040,CJ,72.83,neutral,섹터RS+거래량,금융,open,2.0408
2025-06-04,004990,롯데지주,69.97,neutral,섹터RS+거래량,금융,open,0.9539
2025-06-04,003530,한화투자증권,67.75,neutral,섹터RS+거래량,증권,open,0.7307
2025-06-05,001800,오리온홀딩스,90.28,neutral,섹터RS+거래량,금융,open,4.1860
2025-06-05,316140,우리금융지주,62.66,neutral,섹터RS+거래량,금융,open,1.7413
2025-06-05,034730,SK,50.25,neutral,섹터RS+거래량,금융,open,3.9572
2025-06-09,282330,BGF리테일,100.00,weak,종가매매,유통,open,-0.2421
2025-06-09,057050,현대홈쇼핑,100.00,weak,종가매매,유통,open,1.0345
2025-06-09,195940,HK이노엔,99.90,weak,종가매매,제약,open,-2.3429
