date,code,name,score,regime,strategy,sector,exit_type,ret_pct
2025-05-19,475150,SK이터닉스,96.45,weak,종가매매,건설,open,-3.7772
2025-05-19,030530,원익홀딩스,95.63,weak,종가매매,화학,open,-2.2599
2025-05-19,322000,HD현대에너지솔루션,86.23,weak,종가매매,전기/전자,open,-5.1282
2025-05-19,100090,SK오션플랜트,80.62,weak,종가매매,금속,open,-3.3741
2025-05-19,096530,씨젠,77.73,weak,종가매매,제약,open,-2.7994
2025-05-20,032820,우리기술,97.08,weak,종가매매,전기/전자,stop,-2.0000
2025-05-20,030530,원익홀딩스,95.57,weak,종가매매,화학,close,0.5474
2025-05-20,475150,SK이터닉스,81.41,weak,종가매매,건설,open,-3.0568
2025-05-20,008770,호텔신라,66.85,weak,종가매매,유통,close,-1.0395
2025-05-20,112610,씨에스윈드,61.57,weak,종가매매,금속,open,-2.5145
2025-05-21,028260,삼성물산,100.00,weak,종가매매,유통,close,-0.3597
2025-05-21,302440,SK바이오사이언스,98.17,weak,종가매매,제약,close,2.5581
2025-05-21,290650,엘앤씨바이오,96.89,weak,종가매매,제약,stop,-2.0000
2025-05-21,213420,덕산네오룩스,96.27,weak,종가매매,전기/전자,stop,-2.0000
2025-05-21,075580,세진중공업,95.56,weak,종가매매,운송장비/부품,stop,-2.0000
2025-05-22,028260,삼성물산,98.12,weak,종가매매,유통,close,2.5271
2025-05-22,462870,시프트업,97.24,weak,종가매매,IT 서비스,open,-4.4444
2025-05-22,298040,효성중공업,96.80,weak,종가매매,전기/전자,stop,-2.0000
2025-05-22,096530,씨젠,96.29,weak,종가매매,제약,open,-2.3222
2025-05-22,241710,코스메카코리아,93.83,weak,종가매매,화학,stop,-2.0000
2025-05-23,000720,현대건설,88.68,neutral,모멘텀(),건설,close,7.3801
2025-05-23,036620,감성코퍼레이션,87.39,neutral,모멘텀(),유통,close,4.0733
2025-05-23,019170,신풍제약,85.43,neutral,모멘텀(),제약,close,15.7017
2025-05-23,290650,엘앤씨바이오,84.28,neutral,모멘텀(),제약,close,5.8824
2025-05-23,375500,DL이앤씨,83.76,neutral,모멘텀(),건설,stop,-2.0000
2025-05-26,019170,신풍제약,88.04,strong,모멘텀(),제약,stop,-2.0000
2025-05-26,000720,현대건설,82.27,strong,모멘텀(),건설,close,6.5292
2025-05-26,460930,현대힘스,81.64,strong,모멘텀(),운송장비/부품,stop,-2.0000
2025-05-26,036620,감성코퍼레이션,79.76,strong,모멘텀(),유통,stop,-2.0000
2025-05-26,124500,아이티센글로벌,77.44,strong,모멘텀(),IT 서비스,stop,-2.0000
2025-05-27,499790,GS피앤엘,87.51,neutral,모멘텀(),금융,stop,-2.0000
2025-05-27,000880,한화,87.19,neutral,모멘텀(),화학,close,9.2233
2025-05-27,290650,엘앤씨바이오,86.71,neutral,모멘텀(),제약,open,-5.3667
2025-05-27,137310,에스디바이오센서,84.89,neutral,모멘텀(),의료/정밀기기,stop,-2.0000
2025-05-27,019170,신풍제약,83.55,neutral,모멘텀(),제약,open,-3.1993
2025-05-28,006360,GS건설,90.16,neutral,모멘텀(),건설,close,2.8761
2025-05-28,377300,카카오페이,89.75,neutral,모멘텀(),금융,open,-2.9563
2025-05-28,000880,한화,87.77,neutral,모멘텀(),화학,close,10.2222
2025-05-28,267250,HD현대,87.17,neutral,모멘텀(),금융,close,11.2590
2025-05-28,004990,롯데지주,83.60,neutral,모멘텀(),금융,close,11.7431
2025-05-29,267250,HD현대,88.81,neutral,모멘텀(),금융,close,2.7599
2025-05-29,006800,미래에셋증권,88.32,neutral,모멘텀(),증권,stop,-2.0000
2025-05-29,004990,롯데지주,88.17,neutral,모멘텀(),금융,stop,-2.0000
