date,code,name,score,regime,strategy,sector,exit_type,ret_pct
2025-05-19,475150,SK이터닉스,96.45,weak,종가매매,건설,open,-3.7772
2025-05-19,030530,원익홀딩스,95.63,weak,종가매매,화학,open,-2.2599
2025-05-19,322000,HD현대에너지솔루션,86.23,weak,종가매매,전기/전자,open,-5.1282
2025-05-19,100090,SK오션플랜트,80.62,weak,종가매매,금속,open,-3.3741
2025-05-19,096530,씨젠,77.73,weak,종가매매,제약,open,-2.7994
2025-05-20,032820,우리기술,97.08,weak,종가매매,전기/전자,stop,-2.0000
2025-05-20,030530,원익홀딩스,95.57,weak,종가매매,화학,close,0.5474
2025-05-20,475150,SK이터닉스,81.41,weak,종가매매,건설,open,-3.0568
2025-05-20,008770,호텔신라,66.85,weak,종가매매,유통,close,-1.0395
2025-05-20,112610,씨에스윈드,61.57,weak,종가매매,금속,open,-2.5145
2025-05-21,028260,삼성물산,100.00,weak,종가매매,유통,close,-0.3597
2025-05-21,302440,SK바이오사이언스,98.17,weak,종가매매,제약,close,2.5581
2025-05-21,290650,엘앤씨바이오,96.89,weak,종가매매,제약,stop,-2.0000
2025-05-21,213420,덕산네오룩스,96.27,weak,종가매매,전기/전자,stop,-2.0000
2025-05-21,075580,세진중공업,95.56,weak,종가매매,운송장비/부품,stop,-2.0000
2025-05-22,028260,삼성물산,98.12,weak,종가매매,유통,close,2.5271
2025-05-22,462870,시프트업,97.24,weak,종가매매,IT 서비스,open,-4.4444
2025-05-22,298040,효성중공업,96.80,weak,종가매매,전기/전자,stop,-2.0000
2025-05-22,096530,씨젠,96.29,weak,종가매매,제약,open,-2.3222
2025-05-22,241710,코스메카코리아,93.83,weak,종가매매,화학,stop,-2.0000
2025-05-23,003530,한화투자증권,68.61,neutral,모멘텀(섹터),증권,stop,-2.0000
2025-05-23,122870,와이지엔터테인먼트,60.52,neutral,모멘텀(섹터),오락/문화,close,2.1546
2025-05-23,006800,미래에셋증권,57.97,neutral,모멘텀(섹터),증권,close,0.5838
2025-05-23,352820,하이브,55.76,neutral,모멘텀(섹터),오락/문화,close,1.4011
2025-05-23,041510,에스엠,54.36,neutral,모멘텀(섹터),오락/문화,stop,-2.0000
2025-05-26,122870,와이지엔터테인먼트,58.51,strong,모멘텀(섹터),오락/문화,close,0.4963
2025-05-26,352820,하이브,55.63,strong,모멘텀(섹터),오락/문화,stop,-2.0000
2025-05-26,041510,에스엠,51.79,strong,모멘텀(섹터),오락/문화,stop,-2.0000
2025-05-26,006800,미래에셋증권,50.04,strong,모멘텀(섹터),증권,stop,-2.0000
2025-05-27,122870,와이지엔터테인먼트,56.92,neutral,모멘텀(섹터),오락/문화,stop,-2.0000
2025-05-27,006800,미래에셋증권,50.09,neutral,모멘텀(섹터),증권,close,0.2923
2025-05-28,041510,에스엠,70.05,neutral,모멘텀(섹터),오락/문화,stop,-2.0000
2025-05-28,122870,와이지엔터테인먼트,61.06,neutral,모멘텀(섹터),오락/문화,stop,-2.0000
2025-05-28,016360,삼성증권,56.31,neutral,모멘텀(섹터),증권,close,5.6042
2025-05-28,352820,하이브,55.94,neutral,모멘텀(섹터),오락/문화,open,-6.8100
2025-05-28,035900,JYP Ent.,51.37,neutral,모멘텀(섹터),오락/문화,stop,-2.0000
2025-05-29,267250,HD현대,88.81,neutral,모멘텀(섹터),금융,close,2.7599
2025-05-29,006800,미래에셋증권,88.32,neutral,모멘텀(섹터),증권,stop,-2.0000
2025-05-29,004990,롯데지주,88.17,neutral,모멘텀(섹터),금융,stop,-2.0000
2025-05-29,034730,SK,86.13,neutral,모멘텀(섹터),금융,stop,-2.0000
2025-05-29,002020,코오롱,85.30,neutral,모멘텀(섹터),금융,stop,-2.0000
